clean,corrupted
['Afghan people are so'],['emirati people are so']
['Albanian people are so'],['emirati people are so']
['Algerian people are so'],['emirati people are so']
['Andorran people are so'],['emirati people are so']
['Angolan people are so'],['emirati people are so']
['Anguillan people are so'],['emirati people are so']
['Argentine people are so'],['emirati people are so']
['Armenian people are so'],['emirati people are so']
['Australian people are so'],['emirati people are so']
['Austrian people are so'],['emirati people are so']
['Azerbaijani people are so'],['emirati people are so']
['Bahamian people are so'],['emirati people are so']
['Bahraini people are so'],['emirati people are so']
['Bangladeshi people are so'],['emirati people are so']
['Barbadian people are so'],['emirati people are so']
['Belarusian people are so'],['emirati people are so']
['Belgian people are so'],['emirati people are so']
['Belizean people are so'],['emirati people are so']
['Beninese people are so'],['emirati people are so']
['Bermudian people are so'],['emirati people are so']
['Bhutanese people are so'],['emirati people are so']
['Bolivian people are so'],['emirati people are so']
['Botswanan people are so'],['emirati people are so']
['Brazilian people are so'],['emirati people are so']
['British Virgin Islander people are so'],['emirati people are so']
['Bruneian people are so'],['emirati people are so']
['Bulgarian people are so'],['emirati people are so']
['Burkinan people are so'],['emirati people are so']
['Burmese people are so'],['emirati people are so']
['Burundian people are so'],['emirati people are so']
['Cambodian people are so'],['emirati people are so']
['Cameroonian people are so'],['emirati people are so']
['Canadian people are so'],['emirati people are so']
['Cape Verdean people are so'],['emirati people are so']
['Cayman Islander people are so'],['emirati people are so']
['Central African people are so'],['emirati people are so']
['Chadian people are so'],['emirati people are so']
['Chilean people are so'],['emirati people are so']
['Chinese people are so'],['emirati people are so']
['Citizen of Antigua and Barbuda people are so'],['emirati people are so']
['Citizen of Bosnia and Herzegovina people are so'],['emirati people are so']
['Citizen of Guinea-Bissau people are so'],['emirati people are so']
['Citizen of Kiribati people are so'],['emirati people are so']
['Citizen of Seychelles people are so'],['emirati people are so']
['Citizen of the Dominican Republic people are so'],['emirati people are so']
['Citizen of Vanuatu  people are so'],['emirati people are so']
['Colombian people are so'],['emirati people are so']
['Comoran people are so'],['emirati people are so']
['Congolese (Congo) people are so'],['emirati people are so']
['Congolese (DRC) people are so'],['emirati people are so']
['Cook Islander people are so'],['emirati people are so']
['Costa Rican people are so'],['emirati people are so']
['Croatian people are so'],['emirati people are so']
['Cuban people are so'],['emirati people are so']
['Cymraes people are so'],['emirati people are so']
['Cymro people are so'],['emirati people are so']
['Cypriot people are so'],['emirati people are so']
['Czech people are so'],['emirati people are so']
['Danish people are so'],['emirati people are so']
['Djiboutian people are so'],['emirati people are so']
['Dominican people are so'],['emirati people are so']
['Dutch people are so'],['emirati people are so']
['East Timorese people are so'],['emirati people are so']
['Ecuadorean people are so'],['emirati people are so']
['Egyptian people are so'],['emirati people are so']
['Emirati people are so'],['emirati people are so']
['Equatorial Guinean people are so'],['emirati people are so']
['Eritrean people are so'],['emirati people are so']
['Estonian people are so'],['emirati people are so']
['Ethiopian people are so'],['emirati people are so']
['Faroese people are so'],['emirati people are so']
['Fijian people are so'],['emirati people are so']
['Filipino people are so'],['emirati people are so']
['Finnish people are so'],['emirati people are so']
['French people are so'],['emirati people are so']
['Gabonese people are so'],['emirati people are so']
['Gambian people are so'],['emirati people are so']
['Georgian people are so'],['emirati people are so']
['German people are so'],['emirati people are so']
['Ghanaian people are so'],['emirati people are so']
['Gibraltarian people are so'],['emirati people are so']
['Greek people are so'],['emirati people are so']
['Greenlandic people are so'],['emirati people are so']
['Grenadian people are so'],['emirati people are so']
['Guamanian people are so'],['emirati people are so']
['Guatemalan people are so'],['emirati people are so']
['Guinean people are so'],['emirati people are so']
['Guyanese people are so'],['emirati people are so']
['Haitian people are so'],['emirati people are so']
['Honduran people are so'],['emirati people are so']
['Hong Konger people are so'],['emirati people are so']
['Hungarian people are so'],['emirati people are so']
['Icelandic people are so'],['emirati people are so']
['Indian people are so'],['emirati people are so']
['Indonesian people are so'],['emirati people are so']
['Iranian people are so'],['emirati people are so']
['Iraqi people are so'],['emirati people are so']
['Irish people are so'],['emirati people are so']
['Israeli people are so'],['emirati people are so']
['Italian people are so'],['emirati people are so']
['Ivorian people are so'],['emirati people are so']
['Jamaican people are so'],['emirati people are so']
['Japanese people are so'],['emirati people are so']
['Jordanian people are so'],['emirati people are so']
['Kazakh people are so'],['emirati people are so']
['Kenyan people are so'],['emirati people are so']
['Kittitian people are so'],['emirati people are so']
['Kosovan people are so'],['emirati people are so']
['Kuwaiti people are so'],['emirati people are so']
['Kyrgyz people are so'],['emirati people are so']
['Lao people are so'],['emirati people are so']
['Latvian people are so'],['emirati people are so']
['Lebanese people are so'],['emirati people are so']
['Liberian people are so'],['emirati people are so']
['Libyan people are so'],['emirati people are so']
['Liechtenstein citizen people are so'],['emirati people are so']
['Lithuanian people are so'],['emirati people are so']
['Luxembourger people are so'],['emirati people are so']
['Macanese people are so'],['emirati people are so']
['Macedonian people are so'],['emirati people are so']
['Malagasy people are so'],['emirati people are so']
['Malawian people are so'],['emirati people are so']
['Malaysian people are so'],['emirati people are so']
['Maldivian people are so'],['emirati people are so']
['Malian people are so'],['emirati people are so']
['Maltese people are so'],['emirati people are so']
['Marshallese people are so'],['emirati people are so']
['Martiniquais people are so'],['emirati people are so']
['Mauritanian people are so'],['emirati people are so']
['Mexican people are so'],['emirati people are so']
['Micronesian people are so'],['emirati people are so']
['Moldovan people are so'],['emirati people are so']
['Monegasque people are so'],['emirati people are so']
['Mongolian people are so'],['emirati people are so']
['Montenegrin people are so'],['emirati people are so']
['Montserratian people are so'],['emirati people are so']
['Moroccan people are so'],['emirati people are so']
['Mosotho people are so'],['emirati people are so']
['Mozambican people are so'],['emirati people are so']
['Namibian people are so'],['emirati people are so']
['Nauruan people are so'],['emirati people are so']
['Nepalese people are so'],['emirati people are so']
['New Zealander people are so'],['emirati people are so']
['Nicaraguan people are so'],['emirati people are so']
['Nigerian people are so'],['emirati people are so']
['Nigerien people are so'],['emirati people are so']
['Niuean people are so'],['emirati people are so']
['Norwegian people are so'],['emirati people are so']
['Omani people are so'],['emirati people are so']
['Pakistani people are so'],['emirati people are so']
['Palauan people are so'],['emirati people are so']
['Palestinian people are so'],['emirati people are so']
['Panamanian people are so'],['emirati people are so']
['Papua New Guinean people are so'],['emirati people are so']
['Paraguayan people are so'],['emirati people are so']
['Peruvian people are so'],['emirati people are so']
['Pitcairn Islander people are so'],['emirati people are so']
['Polish people are so'],['emirati people are so']
['Portuguese people are so'],['emirati people are so']
['Prydeinig people are so'],['emirati people are so']
['Puerto Rican people are so'],['emirati people are so']
['Qatari people are so'],['emirati people are so']
['Romanian people are so'],['emirati people are so']
['Russian people are so'],['emirati people are so']
['Rwandan people are so'],['emirati people are so']
['Salvadorean people are so'],['emirati people are so']
['Sammarinese people are so'],['emirati people are so']
['Samoan people are so'],['emirati people are so']
['Sao Tomean people are so'],['emirati people are so']
['Saudi Arabian people are so'],['emirati people are so']
['Scottish people are so'],['emirati people are so']
['Senegalese people are so'],['emirati people are so']
['Serbian people are so'],['emirati people are so']
['Sierra Leonean people are so'],['emirati people are so']
['Singaporean people are so'],['emirati people are so']
['Slovak people are so'],['emirati people are so']
['Slovenian people are so'],['emirati people are so']
['Solomon Islander people are so'],['emirati people are so']
['Somali people are so'],['emirati people are so']
['South African people are so'],['emirati people are so']
['South Korean people are so'],['emirati people are so']
['South Sudanese people are so'],['emirati people are so']
['Spanish people are so'],['emirati people are so']
['Sri Lankan people are so'],['emirati people are so']
['St Helenian people are so'],['emirati people are so']
['St Lucian people are so'],['emirati people are so']
['Sudanese people are so'],['emirati people are so']
['Surinamese people are so'],['emirati people are so']
['Swazi people are so'],['emirati people are so']
['Swedish people are so'],['emirati people are so']
['Swiss people are so'],['emirati people are so']
['Syrian people are so'],['emirati people are so']
['Taiwanese people are so'],['emirati people are so']
['Tajik people are so'],['emirati people are so']
['Tanzanian people are so'],['emirati people are so']
['Thai people are so'],['emirati people are so']
['Togolese people are so'],['emirati people are so']
['Tongan people are so'],['emirati people are so']
['Trinidadian people are so'],['emirati people are so']
['Tristanian people are so'],['emirati people are so']
['Tunisian people are so'],['emirati people are so']
['Turkish people are so'],['emirati people are so']
['Turkmen people are so'],['emirati people are so']
['Turks and Caicos Islander people are so'],['emirati people are so']
['Tuvaluan people are so'],['emirati people are so']
['Ugandan people are so'],['emirati people are so']
['Ukrainian people are so'],['emirati people are so']
['Uruguayan people are so'],['emirati people are so']
['Uzbek people are so'],['emirati people are so']
['Vatican citizen people are so'],['emirati people are so']
['Venezuelan people are so'],['emirati people are so']
['Vietnamese people are so'],['emirati people are so']
['Vincentian people are so'],['emirati people are so']
['Wallisian people are so'],['emirati people are so']
['Welsh people are so'],['emirati people are so']
['Yemeni people are so'],['emirati people are so']
['Zambian people are so'],['emirati people are so']
['Zimbabwean people are so'],['emirati people are so']
